"사업유형","사업번호","사업계획변경순번","사업년도","계속사업여부","계속사업시작연도","사업유형코드","비예산여부","특수사업명코드","사업명","관활시도명","시군구코드","관할시군구","기관ID","수행기관관활시도명","수행기관시군구","사업기간시작일","사업기간종료일","사업계획서상태코드","목표일자리수","최초등록첨부파일","최근승인첨부파일","삭제여부"
공익활동형,"2023-62224",2,"2023",N,"2023",기타(A-19),N,"105001",에코草芽(조아),경상남도,"4827000000",밀양시,"0018083",경상남도,밀양시,2023-02-01 00:00:00.000,2023-12-29 00:00:00.000,승인완료,10,수직정원 사업계획서.hwp,,N
공익활동형,"2023-68952",1,"2023",N,"2023",지역사회 환경개선 봉사(A-16),N,"105001",ㅇㅁㄴ,경상북도,"4713000000",경주시,"0000176",경상북도,경주시,2023-04-03 00:00:00.000,2023-12-31 00:00:00.000,임시,36,"2023년 버스차고지 방역지원사업(40명).hwp",,Y
공익활동형,"2023-11667",2,"2023",Y,"2022",공원 놀이터 등 공공시설 봉사(A-13),N,"105001",시민사랑 환경지킴이,전라북도,"4513000000",군산시,"0516083",전라북도,군산시,2023-01-09 00:00:00.000,2023-12-15 00:00:00.000,승인완료,60,"23년+시민사랑+환경지킴이+사업계획서(수정).hwp","23년+시민사랑+환경지킴이+사업계획서(수정) (6).hwp",N
공익활동형,"2023-24731",1,"2023",N,"2023",노노케어(A-01),N,"105001","9988행복지키미 군자체사업",충청북도,"4380000000",단양군,"0000488",충청북도,단양군,2023-01-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,39,"23. 9988행복지키미 군자체사업 계획 (대한노인회단양군지회).hwp",,N
시장형,"2023-11383",1,"2023",Y,"2013",기타(E-07),N,"105001",희망나눔 공동작업장,경기도,"4143000000",의왕시,"0002239",경기도,의왕시,2023-01-01 00:00:00.000,2023-12-31 00:00:00.000,임시,35,"2023+공동작업장+사업계획서.hwp",,Y
공익활동형,"2023-11286",1,"2023",Y,"2019",지역사회 환경개선 봉사(A-16),N,"105001",소공클린시니어,서울특별시,"1114000000",중구,"0000199",서울특별시,중구,2023-01-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,3,"01.소공동_사업계획서.hwp",,N
공익활동형,"2023-75650",1,"2023",Y,"2023",공원 놀이터 등 공공시설 봉사(A-13),N,"105001",벼고을클린지원사업,전라북도,"4521000000",김제시,"0000525",전라북도,김제시,2023-06-01 00:00:00.000,2023-12-31 00:00:00.000,임시,21,"2023년벼고을클린지원사업사업계획서2.hwp",,Y
공익활동형,"2023-10687",1,"2023",Y,"2020",주정차질서 계도 봉사(A-17),N,"105001",은빛주차장관리사업단,전라남도,"4682000000",해남군,"0000833",전라남도,해남군,2023-01-02 00:00:00.000,2023-12-30 00:00:00.000,승인완료,60,"2023년 공익형-은빛주차장관리사업단.hwp",,N
공익활동형,"2023-15727",1,"2023",N,"2023",공원 놀이터 등 공공시설 봉사(A-13),N,"105001",공익형 공공시설봉사 2,경기도,"4111000000",수원시,"0000073",경기도,수원시,2023-02-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,32,"2023년+공익형+공공시설봉사 2+사업계획서_230104.hwp",,N
시장형,"2023-69380",4,"2023",N,"2023",카페(E-08),N,"105001",카페청춘드림(다목적실내체육관점),경기도,"4148000000",파주시,"0347083",경기도,파주시,2023-06-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,12,"1. 2023년 카페청춘드림(다목적실내체육관점) 사업계획서.hwp","2023년 카페청춘드림(다목적실내체육관점) 사업계획서.pdf",N
공익활동형,"2023-60886",3,"2023",N,"2023",기타(A-19),N,"105001",수직정원,경상남도,"4874000000",창녕군,"0040087",경상남도,창녕군,2023-02-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,10,사업계획서_수직정원_수정.hwp,사업계획서_수직정원_예산변경.hwp,N
공익활동형,"2023-62006",1,"2023",N,"2023",시범사업(A-27),N,"105001",전기차충전소관리원사업,경상북도,"4785000000",칠곡군,"0002513",경상북도,칠곡군,2023-04-10 00:00:00.000,2023-12-29 00:00:00.000,승인완료,8,"2023년 사업계획서(전기차충전소관리원).hwp",,N
사회서비스형,"2023-11161",1,"2023",Y,"2021",안전관리지원(B-10),N,"105001",안전서포터즈,전라북도,"4511000000",전주시,"0000118",전라북도,전주시,2023-02-01 00:00:00.000,2023-11-30 00:00:00.000,승인완료,10,"2023년 사회서비스형 안전서포터즈 사업계획서.hwp",,N
시장형,"2023-11416",1,"2023",Y,"2021",기타(E-19),N,"105001",토이케어,서울특별시,"1114000000",중구,"0002538",서울특별시,중구,2023-01-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,20,종림종합사회복지관_2023년 사업계획서_토이케어.hwp,,N
공익활동형,"2023-10566",4,"2023",N,"2023",지역사회 환경개선 봉사(A-16),N,"105001","탄소중립""0""(제로)사업단-(음성형)",충청북도,"4377000000",음성군,"0002527",충청북도,음성군,2023-01-09 00:00:00.000,2023-12-31 00:00:00.000,승인완료,62,"23년 탄소중립 제로 사업단 사업계획서.hwp","23년 탄소중립 제로 사업단 사업계획서.hwp",N
사회서비스형,"2023-54064",5,"2023",N,"2023",기타(B-15),N,"105001",행복 노후 지원 사업단,광주광역시,"2911000000",동구,"0002648",광주광역시,동구,2023-03-06 00:00:00.000,2023-12-31 00:00:00.000,승인완료,5,"9. 행복 노후 지원 사업단 - 5 명 - end-1.hwp","9. 행복노후 지원사업단.hwp",N
시장형,"2023-11144",1,"2023",Y,"2018",기타(E-04),N,"105001",살맛나는 공동작업장(춤추는 쌈채소),전라북도,"4577000000",순창군,"0000920",전라북도,순창군,2023-02-01 00:00:00.000,2023-11-30 00:00:00.000,임시,10,(시장형)+공동작업장+운영사업계획서(대한노인회++순창군지회)변경 (1).hwp,,Y
시장형,"2023-20460",5,"2023",N,"2023",매점(편의점)(E-10),N,"105001",매장운영사업,경기도,"4157000000",김포시,"0001912",경기도,김포시,2023-01-02 00:00:00.000,2023-12-30 00:00:00.000,승인완료,12,"6. 2023년 카페매장운영사업 사업계획서(완료).hwp","2023년 편의점매장운영사업 사업계획서(수정완료).hwp",N
공익활동형,"2023-25189",1,"2023",Y,"2023",경륜전수 활동(A-23),N,"105001","2023 교육강사파견사업",울산광역시,"3100900000",직속,"0000059",울산광역시,직속,2023-01-09 00:00:00.000,2023-12-31 00:00:00.000,임시,48,"1. 2023년 교육강사파견사업 활동 사업계획서(1차수정-48명).hwp",,Y
사회서비스형,"2023-29416",1,"2023",N,"2023",미디어 전문서비스(B-13),N,"105001",시니어프로듀서,서울특별시,"1141000000",서대문구,"0078083",서울특별시,서대문구,2023-02-08 00:00:00.000,2023-12-14 00:00:00.000,승인완료,6,사업계획서_사회서비스형_시니어프로듀서_수정.hwp,,N
사회서비스형,"2023-86235",2,"2023",N,"2023",공공행정업무지원(B-12),N,"105001",생명사랑지킴이,강원도,"4221000000",속초시,"0001649",강원도,속초시,2023-09-01 00:00:00.000,2023-12-31 00:00:00.000,삭제요청,6,사업계획서(특화형_생명사랑지킴이(사회서비스형)).hwp,,Y
시장형,"2023-66862",2,"2023",N,"2023",기타(E-11),N,"105001",서원상회,전라북도,"4511000000",전주시,"0000744",전라북도,전주시,2023-05-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,4,"2023 서원상회 사업계획서(4인).hwp",,N
사회서비스형,"2023-11081",2,"2023",N,"2023",기타(B-15),N,"105001",복지시설 지원,인천광역시,"2872000000",옹진군,"0000259",인천광역시,옹진군,2023-01-09 00:00:00.000,2023-10-31 00:00:00.000,승인완료,3,"2023년 사회서비스형(복지시설 지원) 사업계획서.hwp","2023년 사회서비스형(복지시설 지원) 사업계획서.hwp",N
공익활동형,"2023-11556",4,"2023",N,"2023",공공의료 및 복지시설 봉사(A-15),N,"105001",공공의료 및 복지시설봉사활동,전라남도,"4687000000",영광군,"0735083",전라남도,영광군,2023-01-12 00:00:00.000,2023-12-30 00:00:00.000,승인완료,40,"2023년 공익활동사업계획서(공공의료및복지시설봉사)(20명).hwp","2023년+공익활동사업계획서(공공의료및복지시설봉사)(40명).hwp",N
사회서비스형,"2023-74588",1,"2023",N,"2023",시범사업(B-16),N,"105001",강서보행약자지킴이,서울특별시,"1150000000",강서구,"0212083",서울특별시,강서구,2023-06-01 00:00:00.000,2023-12-29 00:00:00.000,승인완료,10,"2023.+강서보행약자지킴이+사업계획서.hwp",,N
시장형,"2023-80769",1,"2023",N,"2023",카페(E-08),N,"105001",카페우정(도내기샘 체육센터점),전라북도,"4511000000",전주시,"0001672",전라북도,전주시,2023-07-10 00:00:00.000,2023-12-31 00:00:00.000,승인완료,5,"2023년 카페우정(도내기샘 체육센터점).hwp",,N
시장형,"2023-82812",2,"2023",N,"2023",기타(E-07),N,"105001",손뜨개사업,충청남도,"4479000000",청양군,"0002901",충청남도,청양군,2023-08-01 00:00:00.000,2023-12-29 00:00:00.000,승인완료,5,(신규) 2023년 손뜨개사업계획서.hwp,,N
공익활동형,"2023-25547",1,"2023",N,"2023",기타(A-19),N,"105001",우리동네수호천사사업단,부산광역시,"2626000000",동래구,"0002777",부산광역시,동래구,2023-01-16 00:00:00.000,2023-12-29 00:00:00.000,승인완료,82,"2023년+우리동네수호천사사+82명(신규).hwp",,N
사회서비스형,"2023-10897",2,"2023",Y,"2022",노인일자리 담당자 업무지원(B-14),N,"105001",노인일자리 담당자 업무지원사업,경상남도,"4873000000",함안군,"0517083",경상남도,함안군,2023-01-09 00:00:00.000,2023-12-31 00:00:00.000,승인완료,24,"2023년+노인일자리담당자업무지원.hwp",,N
시장형,"2023-90469",1,"2023",N,"2023",기타(E-07),N,"105001",마을꿈터공동작업장,경기도,"4113000000",성남시,"0001889",경기도,성남시,2023-10-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,29,마을꿈터 공동작업장.hwp,,N
시장형,"2023-94761",1,"2023",N,"2023",음식점(E-09),N,"105001",피자함 사업,대구광역시,"2726000000",수성구,"0001371",대구광역시,수성구,2023-12-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,19,"2023년 피자함 사업단 사업계획서.hwp",,N
공익활동형,"2023-10644",2,"2023",Y,"2008",건강체조 취미생활 지도(A-20),N,"105001",노-노큰나무교육강사,대구광역시,"2726000000",수성구,"0000491",대구광역시,수성구,2023-01-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,15,(최종) 2023년 노노강사 사업계획서.hwp,,N
시장형,"2023-11734",1,"2023",N,"2023",기타(E-19),N,"105001",달성시니어 장난감세척사업장,대구광역시,"2771000000",달성군,"0002621",대구광역시,달성군,2023-01-02 00:00:00.000,2023-12-31 00:00:00.000,임시,56,"2023년+달성장난감도서세척+사업계획서.hwp",,Y
사회서비스형,"2023-10694",2,"2023",Y,"2022",장애인 서비스 지원(B-06),N,"105001",장애인시설지원사업,경상남도,"4873000000",함안군,"0517083",경상남도,함안군,2023-01-09 00:00:00.000,2023-12-31 00:00:00.000,승인완료,18,"2023년+장애인시설지원+계획서.hwp",,N
시장형,"2023-97990",1,"2023",N,"2023",도시락 및 반찬류(E-03),N,"105001",동행식당,서울특별시,"1141000000",서대문구,"0078083",서울특별시,서대문구,2023-11-01 00:00:00.000,2023-12-31 00:00:00.000,임시,24,사업계획서_시장형_동행식당_1127.hwp,,Y
공익활동형,"2023-10728",1,"2023",Y,"2015",지역아동센터 봉사(A-11),N,"105001",지역아동센터봉사,전라남도,"4687000000",영광군,"0000392",전라남도,영광군,2023-01-01 00:00:00.000,2023-11-30 00:00:00.000,승인완료,2,"2023년 사업계획서(지역아동센터봉사).hwp",,N
공익활동형,"2023-74174",1,"2023",Y,"2021",지역사회안전망 구축 지원(A-18),N,"105001",불법촬영제로사업,전라북도,"4521000000",김제시,"0001078",전라북도,김제시,2023-06-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,14,"2023년_노인사회활동지원사업_사업계획서_불법촬영제로사업.hwp",,N
사회서비스형,"2023-11093",2,"2023",Y,"2021",공공행정업무지원(B-12),N,"105001",우체국행정업무지원,경상남도,"4887000000",함양군,"0002303",경상남도,함양군,2023-01-09 00:00:00.000,2023-11-30 00:00:00.000,승인완료,3,"2023-우체국.hwp",,N
공익활동형,"2023-11189",1,"2023",Y,"2021",지역사회 환경개선 봉사(A-16),N,"105001",환경 서포터즈,전라북도,"4521000000",김제시,"0000521",전라북도,김제시,2023-01-09 00:00:00.000,2023-10-31 00:00:00.000,임시,60,환경서포터즈 사업계획서+2023년 노인사회활동지원사업.hwp,,Y
사회서비스형,"2023-21818",4,"2023",N,"2023",취약계층 공익증진 서비스(B-09),N,"105001",시니어공익증진지원사업,부산광역시,"2671000000",기장군,"0001913",부산광역시,기장군,2023-01-19 00:00:00.000,2023-12-31 00:00:00.000,승인완료,20,"2023년+시니어공익증진지원사업(20명).hwp","2023년+시니어공익증진지원사업+사업계획서(20명)(수정).hwp",N
공익활동형,"2023-10688",1,"2023",Y,"2017",문화재시설 봉사(A-14),N,"105001",문화재관리지원,전라남도,"4682000000",해남군,"0000129",전라남도,해남군,2023-01-09 00:00:00.000,2023-11-30 00:00:00.000,임시,27,"2023.문화재관리지원사업계획서.hwp",,Y
사회서비스형,"2023-10980",1,"2023",Y,"2022",기타(B-15),N,"105001",푸른세상 클린사업,광주광역시,"2915500000",남구,"0246084",광주광역시,남구,2023-02-01 00:00:00.000,2023-12-31 00:00:00.000,임시,15,"2023년 사회서비스형 노인일자리(1).hwp",,Y
공익활동형,"2023-11088",6,"2023",Y,"2012",공공의료 및 복지시설 봉사(A-15),N,"105001",깨끗한 경로당 만들기,전라남도,"4672000000",곡성군,"0000519",전라남도,곡성군,2023-01-25 00:00:00.000,2023-12-29 00:00:00.000,승인완료,63,"2023년+사업계획서+깨끗한경로당만들기 (2).hwp","2023년+사업계획서+깨끗한경로당만들기 (2).hwp",N
시장형,"2023-38577",4,"2023",N,"2023",기타(E-07),N,"105001",은빛공방,전라남도,"4687000000",영광군,"0735083",전라남도,영광군,2023-03-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,4,시장형사업단+사업계획서(은빛공방)(4명)(0228).hwp,,N
사회서비스형,"2023-10876",3,"2023",Y,"2022",공공행정업무지원(B-12),N,"105001",시니어소방안전지킴이,경상남도,"4873000000",함안군,"0517083",경상남도,함안군,2023-01-09 00:00:00.000,2023-12-31 00:00:00.000,승인완료,20,"2023년 시니어소방안전지킴이사업계획.hwp",,N
시장형,"2023-11156",1,"2023",Y,"2019",기타(E-04),N,"105001","디저트 및 도시락, 밀키트 제조, 판매(건찬맛찬)",서울특별시,"1121500000",광진구,"0172086",서울특별시,광진구,2023-01-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,20,"2023년 건찬맛찬 사업계획서_f.hwp",,N
사회서비스형,"2023-27890",1,"2023",N,"2023",안전관리지원(B-10),N,"105001",시니어 승강기안전단,서울특별시,"1123000000",동대문구,"0342083",서울특별시,동대문구,2023-02-01 00:00:00.000,2023-11-30 00:00:00.000,승인완료,12,"2023년사회서비스형(시니어승강기안전단) 사업계획서.hwp",,N
시장형,"2023-11682",2,"2023",Y,"2018",지역영농(E-12),N,"105001",결성신리 공동작업장,충청남도,"4480000000",홍성군,"0000825",충청남도,홍성군,2023-02-01 00:00:00.000,2023-11-30 00:00:00.000,승인완료,12,"2023 결성신리 공동작업장 사업계획서(최종).hwp","2023 신리 사업계획서.hwp",N
공익활동형,"2023-10789",3,"2023",Y,"2019",학교급식 지원봉사(A-07),N,"105001",학교급식지원사업,전라남도,"4689000000",완도군,"0001819",전라남도,완도군,2023-01-23 00:00:00.000,2023-12-31 00:00:00.000,승인완료,37,"2023년 학교급식지원사업(학교급식지원봉사)-A-07, 36명.hwp","2023년 학교급식지원사업(학교급식지원봉사)-A-07, 37명.hwp",N
사회서비스형,"2023-37154",1,"2023",N,"2023",시니어 컨설턴트(B-11),N,"105001",시니어 컨설턴트,강원도,"4221000000",속초시,"0001649",강원도,속초시,2023-02-01 00:00:00.000,2023-11-30 00:00:00.000,임시,6,"2023_취업알선형보조금교부신청서(연간).hwp",,Y
공익활동형,"2023-10731",1,"2023",Y,"2016",공공의료 및 복지시설 봉사(A-15),N,"105001",복지시설관리지원,전라남도,"4682000000",해남군,"0000129",전라남도,해남군,2023-01-09 00:00:00.000,2023-12-29 00:00:00.000,승인완료,40,"2023.복지시설관리지원사업계획서.hwp",,N
시장형,"2023-10882",1,"2023",Y,"2022",기타(E-07),N,"105001",행복나눔복지회사 칠원,경상남도,"4873000000",함안군,"0517083",경상남도,함안군,2023-01-09 00:00:00.000,2023-12-29 00:00:00.000,임시,39,"2023년 행복나눔복지회사 칠원 사업계획서.hwp",,Y
공익활동형,"2023-10929",2,"2023",N,"2023",기타(A-19),N,"105001",무료급식소 봉사,전라북도,"4577000000",순창군,"0002285",전라북도,순창군,2023-01-01 00:00:00.000,2023-12-31 00:00:00.000,삭제요청,6,무료급식소 봉사.hwp,,Y
공익활동형,"2023-11335",1,"2023",Y,"2006",지역사회 환경개선 봉사(A-16),N,"105001",거리환경지킴이,서울특별시,"1129000000",성북구,"0000205",서울특별시,성북구,2023-02-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,341,"2023년 거리환경지킴이 사업계획서.hwpx",,N
공익활동형,"2023-17426",1,"2023",N,"2023",지역사회 환경개선 봉사(A-16),N,"105001",수성환경지킴이사업,대구광역시,"2726000000",수성구,"0001371",대구광역시,수성구,2023-01-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,100,"2023년+수성환경지킴이 사업+사업계획서.hwp",,N
사회서비스형,"2023-37486",3,"2023",N,"2023",보육시설(어린이집 등) 지원(B-01),N,"105001",아동 보육 시설 관리지원 사업,전라북도,"4577000000",순창군,"0795084",전라북도,순창군,2023-02-01 00:00:00.000,2023-12-30 00:00:00.000,승인완료,24,(사회서비스형)아동시설+관리지원(순창시니어클럽)+(2)+(3)1 (2).hwp,(사회서비스형)아동시설+관리지원.hwp,N
공익활동형,"2023-20405",2,"2023",Y,"2022",지역사회안전망 구축 지원(A-18),N,"105001",클린깔끄미(기회확대),경기도,"4141000000",군포시,"0001327",경기도,군포시,2023-01-09 00:00:00.000,2023-12-29 00:00:00.000,승인완료,100,"2023년 클린깔끄미1 사업계획서.hwp","2023년 클린깔끄미(기회확대)사업계획서(수정).hwp",N
공익활동형,"2023-11319",1,"2023",Y,"2022",공원 놀이터 등 공공시설 봉사(A-13),N,"105001",시민사랑 환경지킴이,전라북도,"4513000000",군산시,"0516083",전라북도,군산시,2023-01-09 00:00:00.000,2023-11-30 00:00:00.000,임시,50,"23년 시민사랑 환경지킴이 사업계획서.hwp",,Y
사회서비스형,"2023-11659",3,"2023",N,"2023",취약계층 공익증진 서비스(B-09),N,"105001",스마트경로당지원,대전광역시,"3020000000",유성구,"0734083",대전광역시,유성구,2023-02-01 00:00:00.000,2023-11-30 00:00:00.000,승인완료,109,"2023년 사회서비스형 스마트경로당 사업계획서(노인의전화).hwp","2023 스마트경로당지원사업 사업계획서(예산변경)_6.26.hwp",N
사회서비스형,"2023-11356",1,"2023",Y,"2022",노인 관련 시설지원(B-07),N,"105001",푸른세상클린사업,광주광역시,"2915500000",남구,"0246084",광주광역시,남구,2023-02-01 00:00:00.000,2023-12-31 00:00:00.000,임시,15,"2023년 사회서비스형 노인일자리(1).hwp",,Y
공익활동형,"2023-11449",3,"2023",N,"2023",노노케어(A-01),N,"105001",노노케어활동,강원도,"4219000000",태백시,"0002231",강원도,태백시,2023-02-01 00:00:00.000,2023-12-22 00:00:00.000,승인완료,190,"9. 노노케어활동.hwp","9. 노노케어활동.hwp",N
사회서비스형,"2023-11488",1,"2023",Y,"2020",노인맞춤돌봄서비스 지원(B-08),N,"105001",더불어 함께,전라북도,"4514000000",익산시,"0000695",전라북도,익산시,2023-01-09 00:00:00.000,2023-12-31 00:00:00.000,승인완료,15,"2023년 노인맞춤돌봄서비스지원사업계획서.hwp",,N
공익활동형,"2023-16909",1,"2023",N,"2023",지역사회안전망 구축 지원(A-18),N,"105001",우리동네안전지킴이(기회),경기도,"4111000000",수원시,"0000805",경기도,수원시,2023-02-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,13,우리동네안전지킴이+사업계획서(기회).hwp,,N
시장형,"2023-11731",2,"2023",Y,"2021",음식점(E-09),N,"105001",장수밥상,전라북도,"4574000000",장수군,"0002252",전라북도,장수군,2023-01-01 00:00:00.000,2023-12-31 00:00:00.000,승인완료,20,"2023년+장수밥상+사업계획서(수정).hwp",,N
사회서비스형,"2023-21783",4,"2023",Y,"2019",안전관리지원(B-10),N,"105001",주거취약계층소방안전시설설치사업,부산광역시,"2671000000",기장군,"0001913",부산광역시,기장군,2023-01-09 00:00:00.000,2023-12-31 00:00:00.000,승인완료,15,"2023년+주거취약계층소방안전시설설치사업+사업계획서(15명).hwp","2023년+주거취약계층소방안전시설설치사업+사업계획서(15명)_수정.hwp",N
공익활동형,"2023-10995",2,"2023",Y,"2022",공공의료 및 복지시설 봉사(A-15),N,"105001",경로당시설관리,경기도,"4163000000",양주시,"0000613",경기도,양주시,2023-01-09 00:00:00.000,2023-12-29 00:00:00.000,승인완료,40,경로당시설관리 사업계획서.hwp,,N
